	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream	conservative	MAGA	liberal elite/political establishment	Trump positive	patriotism	American People	Fake News	Biden negative	Harris negative	Radical Socialists/left	medical efficency/deal with covid	America FIRST 	voter fraud	censorship_big tech_corp	taxes and regulations/big gov	Impeachment WITCH HUNT	terrorists	immigrant problemWALL	constitution	pro life/unborn	rule of law/police support	defend America	working people/class	stimulus check	poverty	Forbid debt 	democrats do not enough	republican negative	war budget	oil, gas and coal companies negative	rich people	Green New Deal	political revolution and transforming 	tax the rich	 criminal system reform 	labor union	housing/homeless problem	democratic socialism	science	sexism	Muslim 	student debt	racial justice	religious bigoty	failed war on drugs/legalize	transform America	capitalism 	authoritarianism	peace	lobbyists 	
trump229																																																			1	1	1																																														
trump230																																																				1	1																																														
trump231																																																			1					1	1	1																																									
trump232																																																				1									1																																						
trump233																1																																					1																																														
trump234																																																	1									1																																									
trump235																																1																		1																																																	
trump236																																																				1	1																																														
trump237																																																	1									1																																									
trump238																																																		1			1																																														
trump239																																																		1			1																																														
trump240																																																		1																																																	
trump241																																																		1			1																																														
trump242																1																																		1																																																	
trump243																																												1					1																																																		
trump244																																																					1								1																																						
trump245																																																			1							1																																									
trump246																																																		1		1																																															
trump247																																																		1					1			1																																									
trump248																																1																							1			1																																									
trump249																																																					1							1																																							
trump250								1																																										1		1	1	1		1		1					1																																				
trump251																																																		1		1		1																																													
trump252																																1																		1			1	1				1																																									
trump253																																																		1		1		1	1	1		1	1							1																																	
trump254																																1																					1																																														
trump255																																1																																																																			
trump256																																																							1																																												
trump257																																1																					1	1										1			1																																
trump258																																1						1													1			1	1			1						1																																			
trump259																																1						1													1			1	1			1						1																																			
trump260																																																		1				1																																													
trump261																																																		1				1																																													
trump262		1																																																1				1																																													
trump263																																																		1		1	1	1																																													
trump264																									1																									1		1	1			1	1	1																																									
trump265																									1																									1		1	1			1	1	1																																									
trump266																																																				1						1																																									
trump267																																																				1																																															
trump268																																							1											1								1			1																																						
trump269																																																	1							1		1																																									
trump270																																																	1							1		1																																									
trump271																																																		1					1			1																																									
trump272																																																		1					1			1																																									
trump273																																																													1																																						
trump274		1																																																1				1																																													
trump275																																																																																																			
trump276																																1																		1				1																																													
trump277																																						1													1	1		1	1	1	1					1																																					
trump278																																						1																1		1																																											
trump279																																																		1			1			1		1																	1																								
trump280																																																					1			1		1																																									
trump281																																																				1		1																																													
trump282																																																				1																																															
trump283																																																		1		1		1																																													
trump284																																																				1	1					1																																									
trump285																																												1								1				1	1	1									1								1																								
trump286																																																					1			1	1																		1																								
trump287																																																		1		1																																															
trump288																																																			1			1	1																																												
trump289																																																				1		1		1														1																													
trump290																																																		1			1			1		1																	1																								
trump291																																																	1	1	1		1																																														
trump292																																																		1	1		1		1																																												
trump293																																																		1			1	1		1		1																																									
trump294																																																		1		1		1		1		1																																									
trump295																																																				1		1						1																																							
trump296																																																				1	1	1			1																																										
trump297																																																				1																																															
trump298																																																				1																																															
trump299											1																																										1					1											1																														
trump300																																																		1			1																																														
trump301																																						1													1			1	1	1	1																																										
trump302																																						1													1			1	1	1	1																																										
trump303																									1													1														1				1		1																																									
trump304																																																				1				1	1	1												1																													
trump305																																																				1				1	1	1												1																													
trump306																																																		1		1		1																																													
trump307																1																																																																																			
trump308																																																					1					1																																									
trump309																															1	1																																			1																																
trump310																																																		1				1																																													
trump311																																																													1																																						
trump312																																																				1		1		1	1	1																																									
trump313																																																							1																																												
trump314																																																							1			1			1																																						
trump315																																																		1				1																																													
trump316																																						1																1		1																																											
trump317											1																																							1		1	1	1																																													
trump318																																																		1		1																																															
trump319																																						1																		1		1																																									
trump320																																																		1			1	1		1		1																																									
trump321																																																		1			1	1																																													
trump322																																																		1		1																																															
trump323																																																				1						1			1																																						
trump324																																																				1				1																																											
trump325																																																				1				1																																											
trump326																																																				1									1																																						
trump327																																																								1					1																																						
trump328																																																				1		1		1		1																																									
trump329																																																						1	1	1																																											
trump330																																																												1			1																																				
trump331																																																			1		1																																														
trump332																																1																						1				1									1																																
trump333																																																	1				1																																														
trump334																																																						1	1	1					1																																						
trump335																																						1								1												1			1																																						
trump336																																																				1						1			1																																						
trump337																																																										1					1																																				
trump338																																																					1					1			1																																						
trump339																																																								1	1																																										
trump340																																																					1			1	1	1																																									
trump341																																																					1			1	1	1																																									
trump342																																																		1					1	1				1																																							
trump343																															1																																1																																				
trump344																																																							1																																												
trump345																																							1													1	1	1					1																																								
trump346																																																				1		1				1			1																																						
trump347																																																							1						1																																						
trump348																																																						1	1	1					1																																						
trump349																																																							1						1																																						
trump350																																																				1	1																																														
trump351																																																				1	1																																														
trump352																																1																		1																																																	
trump353																																																				1		1							1																																						
trump354																																																		1				1				1		1																																							
trump355																																																				1		1		1			1				1			1																																	
trump356																1																																										1		1																																							
trump357																																																				1		1		1		1																																									
trump358																																1																																																																			
trump359																																1																		1																																																	
trump360																																																		1				1																																													
trump361																																																		1					1																																												
trump362																1																																										1			1																																						
trump363																																																				1	1				1																																										
trump364																																																						1			1																																										
trump365																																																		1																																																	
trump366								1																																																1							1																																				
trump367								1																																																1							1																																				
trump368																																																													1																																						
trump369																																																													1																																						
trump370																																																						1	1	1					1																																						
trump371																																									1									1		1	1										1		1	1																																	
trump372																									1													1																1	1	1																																											
trump373																																																				1			1																				1																								
trump374																																																				1			1																																												
trump375																																						1													1		1		1	1	1																																										
trump376																																																		1								1																																									
trump377																																																								1	1																																										
trump378			1																						1							1						1							1							1		1		1		1							1																																		
trump379			1																						1							1						1							1							1		1		1		1							1																																		
trump380			1																																																	1		1		1	1	1					1																																				
trump381			1																																																	1		1		1	1	1					1																																				
trump382																																																													1																																						
trump383			1																																																1		1	1		1	1	1					1																																				
